,Diretor,Entidade,CPF,Link,Consulta
11,MarcAurNorTav,,NA,"https://web.archive.org/web/20220611134605/http://www.consultasocio.com/q/sa/marco-aurelio-noroes-tavares?page=2,https://web.archive.org/web/20220611143909/http://www.consultasocio.com/q/sa/marco-aurelio-noroes-tavares","http://www.consultasocio.com/q/sa/marco-aurelio-noroes-tavares,http://www.consultasocio.com/q/sa/marco-aurelio-noroes-tavares?page=2"
12,,,NA,https://web.archive.org/web/20220611134706/http://www.consultasocio.com/q/sa/rafael-barroso-cabral,http://www.consultasocio.com/q/sa/rafael-barroso-cabral
13,,,NA,"https://web.archive.org/web/20220611134819/http://www.consultasocio.com/q/sa/benildo-aguiar,https://web.archive.org/web/20220611134911/http://www.consultasocio.com/q/sa/benildo-aguiar?page=2","http://www.consultasocio.com/q/sa/benildo-aguiar,http://www.consultasocio.com/q/sa/benildo-aguiar?page=2"
14,,,NA,https://web.archive.org/web/20220611135002/http://www.consultasocio.com/q/sa/francisco-eulalio-santiago-costa,http://www.consultasocio.com/q/sa/francisco-eulalio-santiago-costa
15,,,NA,https://web.archive.org/web/20220611144010/http://www.consultasocio.com/q/sa/flavio-noberto-de-lima-oliveira,http://www.consultasocio.com/q/sa/flavio-noberto-de-lima-oliveira
16,,,NA,https://web.archive.org/web/20220611135103/http://www.consultasocio.com/q/sa/angelo-marcio-nunes-de-oliveira,http://www.consultasocio.com/q/sa/angelo-marcio-nunes-de-oliveira
17,,,NA,https://web.archive.org/web/20220611144106/http://www.consultasocio.com/q/sa/maria-de-fatima-facundo-soares,http://www.consultasocio.com/q/sa/maria-de-fatima-facundo-soares
18,,,NA,https://web.archive.org/web/20220611135209/http://www.consultasocio.com/q/sa/jose-antunes-fonseca-da-mota,http://www.consultasocio.com/q/sa/jose-antunes-fonseca-da-mota
19,,,NA,https://web.archive.org/web/20220611135307/http://www.consultasocio.com/q/sa/francisco-ozina-lima-costa,http://www.consultasocio.com/q/sa/francisco-ozina-lima-costa
20,,,NA,https://web.archive.org/web/20220611135435/http://www.consultasocio.com/q/sa/andre-de-freitas-siqueira,http://www.consultasocio.com/q/sa/andre-de-freitas-siqueira
21,,,NA,https://web.archive.org/web/20220611144209/http://www.consultasocio.com/q/sa/francisco-lelio-matias-pereira,http://www.consultasocio.com/q/sa/francisco-lelio-matias-pereira
22,,,NA,https://web.archive.org/web/20220611144315/http://www.consultasocio.com/q/sa/lauro-martins-de-oliveira-filho,http://www.consultasocio.com/q/sa/lauro-martins-de-oliveira-filho
23,,,NA,https://web.archive.org/web/20220611144406/http://www.consultasocio.com/q/sa/aluisio-da-silva-ramalho-filho,http://www.consultasocio.com/q/sa/aluisio-da-silva-ramalho-filho
24,,,NA,https://web.archive.org/web/20220611135606/http://www.consultasocio.com/q/sa/paulo-cesar-vieira-gurgel,"http://www.consultasocio.com/q/sa/paulo-cesar-vieira-gurgel,http://www.consultasocio.com/q/sa/paulo-cesar-vieira-gurgel"
25,,,NA,"https://web.archive.org/web/20220611135808/http://www.consultasocio.com/q/sa/marcos-silva-montenegro?page=2,https://web.archive.org/web/20220611144513/http://www.consultasocio.com/q/sa/marcos-silva-montenegro","http://www.consultasocio.com/q/sa/marcos-silva-montenegro,http://www.consultasocio.com/q/sa/marcos-silva-montenegro?page=2"
26,,,NA,https://web.archive.org/web/20220611135904/http://www.consultasocio.com/q/sa/pedro-alfredo-da-silva-neto,http://www.consultasocio.com/q/sa/pedro-alfredo-da-silva-neto
27,,,NA,https://web.archive.org/web/20220611144605/http://www.consultasocio.com/q/sa/marcos-augusto-nogueira-de-albuquerque,http://www.consultasocio.com/q/sa/marcos-augusto-nogueira-de-albuquerque
28,,,NA,https://web.archive.org/web/20220611140004/http://www.consultasocio.com/q/sa/marcelo-guimaraes-tavares,http://www.consultasocio.com/q/sa/marcelo-guimaraes-tavares
29,,,NA,https://web.archive.org/web/20220611144702/http://www.consultasocio.com/q/sa/roberto-romero-ramos,http://www.consultasocio.com/q/sa/roberto-romero-ramos
30,,,NA,https://web.archive.org/web/20220611141337/http://www.consultasocio.com/q/sa/ricard-pereira-silveira,http://www.consultasocio.com/q/sa/ricard-pereira-silveira
